corpus,arch,replicate,cell,input,loss,weight_decay,macro_map,micro_map,macro_f1s,top_1_rec,top_3_rec,top_5_rec,normalization,checkpoint
amass_clean,medium_thindec_100ep,seed2,in_p__loss_pk,p,pk,3e-6,0.35623279213905334,0.5447295904159546,0.26796117424964905,0.2818167209625244,0.5308939218521118,0.6437168717384338,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed2/in_p__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed1,in_p__loss_pkd,p,pkd,0.00003,0.36236605048179626,0.5473881363868713,0.2721402943134308,0.28478574752807617,0.5311346650123596,0.6393837332725525,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed1/in_p__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed42,in_p__loss_pkd,p,pkd,0.00003,0.3597208559513092,0.5543269515037537,0.25307202339172363,0.28430429100990295,0.5316160917282104,0.643235445022583,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed42/in_p__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed2,in_p__loss_pkd,p,pkd,0.00003,0.36488038301467896,0.555672824382782,0.2707301676273346,0.28582891821861267,0.5318568348884583,0.6469266414642334,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed2/in_p__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed42,in_pk__loss_p,pk,p,0.00001,0.3450547456741333,0.532412052154541,0.24059876799583435,0.2790081799030304,0.5190980434417725,0.6336061358451843,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed42/in_pk__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_thindec_100ep,seed2,in_pk__loss_p,pk,p,0.00001,0.35310301184654236,0.5412452816963196,0.251692533493042,0.2795698940753937,0.5256780385971069,0.6368961930274963,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed2/in_pk__loss_p/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed1,in_pk__loss_p,pk,p,0.00001,0.35125502943992615,0.5379706621170044,0.2474660575389862,0.2761194109916687,0.5255978107452393,0.640507161617279,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed1/in_pk__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_thindec_100ep,seed2,in_pk__loss_pk,pk,pk,3e-6,0.35260480642318726,0.5438600778579712,0.2510310411453247,0.2782057523727417,0.5267212390899658,0.6413898468017578,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed2/in_pk__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed1,in_pk__loss_pk,pk,pk,3e-6,0.3535483479499817,0.5457175374031067,0.26010534167289734,0.2820574641227722,0.5289680361747742,0.6472476124763489,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed1/in_pk__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed42,in_pk__loss_pk,pk,pk,3e-6,0.3538798391819,0.5457072257995605,0.26837292313575745,0.28069332242012024,0.5311346650123596,0.6439576148986816,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed42/in_pk__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed2,in_pk__loss_pkd,pk,pkd,0.00003,0.3590259253978729,0.5496523380279541,0.24385756254196167,0.28302037715911865,0.5303322076797485,0.6452415585517883,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed2/in_pk__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed1,in_pk__loss_pkd,pk,pkd,0.00003,0.3573298752307892,0.5503898859024048,0.2628309726715088,0.28558817505836487,0.5321778059005737,0.647408127784729,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed1/in_pk__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_thindec_100ep,seed42,in_pk__loss_pkd,pk,pkd,0.00003,0.36474737524986267,0.5555036067962646,0.269328773021698,0.2841438055038452,0.532739520072937,0.649494469165802,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_thindec_100ep/seed42/in_pk__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
